Data Medicao;PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MEDIA COMPENSADA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C)
01/01/1961;.1;24.9;21.22;18.5
02/01/1961;5;22.7;20.84;19.7
03/01/1961;44.9;28.5;21.7;17.8
04/01/1961;0;27.2;21.72;18.7
05/01/1961;7.5;25.8;21.3;18
06/01/1961;0;26.9;22.8;19.1
07/01/1961;6.4;22.2;19.58;18.7
08/01/1961;2.6;21.7;19.54;18
09/01/1961;0;25.9;21.5;18.9
10/01/1961;0;29.6;23.26;20
11/01/1961;4.2;25.7;21.28;19.2
12/01/1961;0;26.7;21.96;17.9
13/01/1961;0;29;22.88;19.2
14/01/1961;0;29;22.24;17.2
15/01/1961;10.1;29.7;22.8;17.6
16/01/1961;16.6;29.1;23.36;17.8
17/01/1961;0;29.9;23.96;19.8
18/01/1961;0;31.1;23.54;19.8
19/01/1961;89.4;28.6;21.92;18.4
20/01/1961;21.8;28.4;23.1;18.4
21/01/1961;0;30;23.26;19.1
22/01/1961;7;29.6;23.18;20
23/01/1961;7.6;26.3;21.84;19.7
24/01/1961;1.6;26.2;21.54;19.3
25/01/1961;0;26;21.34;19
26/01/1961;0;22.8;19.84;18.4
27/01/1961;6.6;18.8;16.84;15.6
28/01/1961;1.6;19.8;17.36;15.5
29/01/1961;6;24.6;20.08;16.9
30/01/1961;14.5;27.5;21.56;18.1
31/01/1961;.9;29.5;22.04;17.6
01/02/1961;0;30.8;22.48;18.8
02/02/1961;35.6;31.2;22.44;17.5
03/02/1961;40.8;30.2;23.02;18.9
04/02/1961;10.2;26.5;21.78;19.8
05/02/1961;6.9;27.5;21.64;18.5
06/02/1961;.1;29;22.88;20.5
07/02/1961;2;30.5;23.86;19.8
08/02/1961;.1;30;23.7;19
09/02/1961;.2;26.9;22.1;18.8
10/02/1961;12.2;27.7;22.48;19.5
11/02/1961;0;29.4;23.6;18.6
12/02/1961;9.6;24.4;20.8;19.1
13/02/1961;67.8;23.9;20.26;18.6
14/02/1961;0;24.3;19.64;16.2
15/02/1961;0;24.7;19.38;15
16/02/1961;0;22.9;19.68;17.5
17/02/1961;2.2;21.9;19.52;18.3
18/02/1961;29.5;23.5;20.7;17.6
19/02/1961;.2;25.2;21.18;18.4
20/02/1961;3.9;27.8;21.76;18.9
21/02/1961;55.7;28.7;21.8;17.5
22/02/1961;22.1;29.5;22.36;19.2
23/02/1961;24.2;23.6;21.04;19.1
24/02/1961;1.5;25.2;22.24;19
25/02/1961;0;28.1;23.5;19.8
26/02/1961;0;29.6;24.3;21.7
27/02/1961;0;27.4;23.22;21.7
28/02/1961;10.2;21.9;19.58;18.4
01/03/1961;39.1;19.7;18.02;17
02/03/1961;.2;22.6;17.7;15.7
03/03/1961;0;28.7;19.22;12.8
04/03/1961;0;29.4;20.12;12.4
05/03/1961;0;27.6;19.8;13.9
06/03/1961;0;22.2;19.54;18
07/03/1961;1.9;21.5;19.64;18.6
08/03/1961;5.7;26.4;21.44;18.7
09/03/1961;.4;28.2;22.68;19.9
10/03/1961;0;30.4;22.26;17.9
11/03/1961;0;31.3;23.88;19
12/03/1961;9;29.3;22.72;19.2
13/03/1961;0;29.7;23.12;18.9
14/03/1961;8.7;28.7;22.38;19.8
15/03/1961;4.9;27.8;21.8;18.7
16/03/1961;24.6;29.1;23.98;19
17/03/1961;0;29.2;22.58;19.3
18/03/1961;6.7;22.6;20.3;19.2
19/03/1961;3.3;22.2;19.38;18
20/03/1961;.4;26.8;21.62;18.7
21/03/1961;.6;28;22.46;19.3
22/03/1961;0;28.2;22.18;18.1
23/03/1961;0;29;22.68;19.8
24/03/1961;0;28;22.5;19.3
25/03/1961;0;29.9;23.54;18.1
26/03/1961;0;29;21.74;18.2
27/03/1961;42.3;18.8;16;14.8
28/03/1961;.1;20.2;15.88;13.8
29/03/1961;0;21.7;16.3;12.9
30/03/1961;0;20.8;16.14;12.1
31/03/1961;0;24.4;17.02;12.3
01/04/1961;0;26.6;19.4;12.9
02/04/1961;0;27.5;20.92;14.4
03/04/1961;0;26.8;22.24;17.3
04/04/1961;.6;23.1;20.24;17.2
05/04/1961;22.2;25.3;20.26;18.4
06/04/1961;6.7;23.7;19.36;17.5
07/04/1961;2;23.6;19.34;17.3
08/04/1961;0;29;21.48;15.8
09/04/1961;0;28.9;21.94;18.8
10/04/1961;0;26.2;21.38;18.6
11/04/1961;1.8;28.9;22.94;19.5
12/04/1961;0;29.4;23.52;18.1
13/04/1961;0;30.4;24.36;19.4
14/04/1961;0;26.6;22.04;20
15/04/1961;0;27.3;21.64;19
16/04/1961;0;28.4;22.42;19
17/04/1961;0;29;22.66;18.8
18/04/1961;0;28.5;22.7;17.5
19/04/1961;0;22.3;17.2;14.9
20/04/1961;0;19.3;16.26;14.4
21/04/1961;0;18.2;16.76;15.2
22/04/1961;0;26.9;20.12;15.6
23/04/1961;0;25;20.64;17.5
24/04/1961;0;27.1;21.02;17.7
25/04/1961;8.7;23.7;19.46;18.1
26/04/1961;35.6;22.3;16.42;14
27/04/1961;.6;23.6;16.42;10.7
28/04/1961;0;24.7;17.08;12.6
29/04/1961;0;23.4;17.74;13.4
30/04/1961;0;24.7;18.06;13.9
01/05/1961;0;22.7;17.2;14.2
02/05/1961;0;22.8;18.42;15.3
03/05/1961;11.9;18.2;16.56;15.8
04/05/1961;46.1;20.4;17.16;15.6
05/05/1961;.7;23.4;17.72;12.5
06/05/1961;0;23.4;18.46;14.5
07/05/1961;0;25.2;19.2;12.2
08/05/1961;0;24.3;19.78;16.3
09/05/1961;6;19.6;17.16;16.1
10/05/1961;.1;18.4;16.74;16.1
11/05/1961;0;20.8;17.22;15
12/05/1961;0;23.3;17.84;14.4
13/05/1961;0;24;18.22;15.8
14/05/1961;0;24.4;17.4;12.7
15/05/1961;0;23.5;18.2;15.2
16/05/1961;0;24.1;17.86;14.2
17/05/1961;0;25.8;19.02;12.7
18/05/1961;0;25.3;21.08;15.6
19/05/1961;0;24.8;18.72;16.7
20/05/1961;0;17;13.36;11.9
21/05/1961;0;20;14.36;10.5
22/05/1961;0;20.7;15.82;12.8
23/05/1961;0;21.3;16.56;13.6
24/05/1961;0;20.7;16.04;13.4
25/05/1961;0;22;15.98;12.8
26/05/1961;0;21.6;15.38;11.7
27/05/1961;0;22.2;16.04;13
28/05/1961;0;24.1;16.64;12.1
29/05/1961;0;24.9;16.98;11.5
30/05/1961;0;25.4;16.78;9.8
31/05/1961;0;24;16.88;11.2
01/06/1961;0;24.3;16.76;10.5
02/06/1961;0;22.5;15.76;9.6
03/06/1961;0;25.8;17.52;11.7
04/06/1961;0;26.9;18.98;14.2
05/06/1961;.1;28.5;18.9;12.9
06/06/1961;0;24.3;18.7;16.7
07/06/1961;0;25.1;18.18;14.3
08/06/1961;.1;24.8;18.22;13.3
09/06/1961;0;26.5;19.32;13.7
10/06/1961;0;26.3;19.04;13.2
11/06/1961;0;24.6;19.7;17.8
12/06/1961;.2;24.8;18.12;15.6
13/06/1961;.8;22.9;18.7;15.3
14/06/1961;0;19.2;15.36;13.2
15/06/1961;13;14.3;10.36;8.5
16/06/1961;2.7;10.4;9.62;8.7
17/06/1961;.5;14;11.98;9.8
18/06/1961;0;18.2;14.54;11.8
19/06/1961;0;24.3;16.84;12.8
20/06/1961;0;24.7;18.02;12.2
21/06/1961;0;23;16.7;12.8
22/06/1961;13;18.2;14.86;13.6
23/06/1961;0;19.2;14.8;12.4
24/06/1961;0;18.2;15.6;13.6
25/06/1961;0;22.5;16.22;13
26/06/1961;0;23.3;17.2;14.5
27/06/1961;.1;24;16.8;12.4
28/06/1961;0;26.1;18.52;12.5
29/06/1961;0;25.3;18.14;12.6
30/06/1961;0;25;17.16;11.4
01/07/1961;.1;25.4;16.1;10.2
02/07/1961;0;25.2;16.78;10.3
03/07/1961;0;24.4;16.86;11
04/07/1961;0;22.4;16.54;14.4
05/07/1961;0;24.4;16.6;12
06/07/1961;0;24.7;17.08;11.2
07/07/1961;0;25.6;16.78;11
08/07/1961;0;16.5;14.04;12.3
09/07/1961;.1;18;13.72;11.7
10/07/1961;0;18.6;13.38;9.6
11/07/1961;0;20.3;14.24;11.6
12/07/1961;0;23.1;15.5;10.7
13/07/1961;0;25.9;17.72;11.4
14/07/1961;0;26.1;18.28;13.3
15/07/1961;0;25.1;16.98;11.5
16/07/1961;0;25;17.38;11
17/07/1961;0;26.1;17.04;9.7
18/07/1961;0;26.8;17.98;11.5
19/07/1961;0;25.1;16.1;10.3
20/07/1961;.1;25.1;16.1;9.8
21/07/1961;0;26;17.92;10.4
22/07/1961;0;26.3;17.34;12.4
23/07/1961;0;23.8;17.28;14.6
24/07/1961;0;25.1;17.4;12.6
25/07/1961;0;26.7;18.38;11.3
26/07/1961;0;23.4;16.24;11.6
27/07/1961;0;19.3;15.34;13.2
28/07/1961;0;17.3;13.96;12.7
29/07/1961;.1;16;13.32;12.2
30/07/1961;0;22.2;14.98;10.8
31/07/1961;0;24.4;16.74;12
01/08/1961;0;19.1;14.98;13.3
02/08/1961;0;22.8;14.74;9.7
03/08/1961;0;24.1;15.26;9.9
04/08/1961;0;27.1;16.46;10.1
05/08/1961;0;25.9;16.14;10.3
06/08/1961;.1;26.7;16.72;9.2
07/08/1961;0;27.4;17.86;10.2
08/08/1961;0;23.5;15.06;8.8
09/08/1961;0;23;15.76;11.4
10/08/1961;0;26.6;17.02;9.3
11/08/1961;0;24.6;16.06;10.2
12/08/1961;0;24.7;15.58;10
13/08/1961;0;26.5;17.3;10
14/08/1961;0;27.9;19.62;11.5
15/08/1961;0;23;16.62;12.5
16/08/1961;0;25.5;17.18;11.3
17/08/1961;0;23.2;17.34;14.1
18/08/1961;0;27.3;18.72;15.5
19/08/1961;.3;22.7;16.04;11.1
20/08/1961;0;28.7;19.54;14.5
21/08/1961;0;19.6;16.7;15.4
22/08/1961;.6;22.4;16.64;14.3
23/08/1961;0;26.9;18.44;13.3
24/08/1961;0;29.7;20.26;13
25/08/1961;0;30.9;23.14;15.1
26/08/1961;12.3;21.4;15.38;12.7
27/08/1961;0;30.4;19.54;11.8
28/08/1961;0;32.8;23.62;16
29/08/1961;0;31.7;23.74;16.1
30/08/1961;0;25;19.64;17.4
31/08/1961;.5;25.6;18.7;14.3
01/09/1961;0;24.8;18.76;15.8
02/09/1961;0;30.1;21.38;15.3
03/09/1961;0;31.5;23.1;15.7
04/09/1961;0;32;25.24;18.9
05/09/1961;0;29.3;20.94;18.3
06/09/1961;0;19.4;15.98;14.4
07/09/1961;1.1;16;15.08;13.7
08/09/1961;2.3;22.8;17.66;14.9
09/09/1961;0;29.4;21.44;16.2
10/09/1961;0;30.5;20.4;16.6
11/09/1961;0;21.7;18.42;16.4
12/09/1961;.3;23.7;18.72;16.3
13/09/1961;0;27.5;19.4;14.6
14/09/1961;0;33;21.76;16.7
15/09/1961;0;30.3;21.36;17.7
16/09/1961;0;31.3;21.08;16.5
17/09/1961;0;33.1;23.7;16.3
18/09/1961;0;34.4;23.08;18
19/09/1961;0;26.1;20.3;18.1
20/09/1961;0;35.2;22.78;18.1
21/09/1961;0;35;22.44;16.5
22/09/1961;0;21.4;17.94;16.6
23/09/1961;.3;21.5;17.24;15.9
24/09/1961;0;31.2;21.24;15.6
25/09/1961;0;32.6;20.74;15.7
26/09/1961;0;32.3;22.16;16.1
27/09/1961;0;35.1;24.84;17.1
28/09/1961;0;27.1;22.02;17.2
29/09/1961;0;28.1;17.94;13.2
30/09/1961;0;22.4;15.94;11.9
01/10/1961;0;27.3;18.2;13.8
02/10/1961;0;33.5;23.18;15.1
03/10/1961;0;23.4;18.42;16.3
04/10/1961;0;25.1;19.48;15.8
05/10/1961;0;29.4;20.16;13.8
06/10/1961;0;33;23.36;14.9
07/10/1961;0;29.1;20.56;16.4
08/10/1961;0;29;20.5;17.3
09/10/1961;1.1;30.1;20.86;16.7
10/10/1961;0;31.6;21.6;15.6
11/10/1961;0;20.7;17.94;16.8
12/10/1961;.8;28;21.68;15
13/10/1961;3.5;32.1;23.28;18.1
14/10/1961;2.1;31.4;23.38;18.6
15/10/1961;9.2;26.8;20.28;16.6
16/10/1961;14.8;18;16.98;15.9
17/10/1961;14.9;29.9;20.94;16.2
18/10/1961;43.2;29.2;21.68;18.1
19/10/1961;0;27.1;20.86;18
20/10/1961;0;30.4;23.48;17.8
21/10/1961;0;30;22.48;18.2
22/10/1961;0;23.2;19.74;16.8
23/10/1961;1;21.8;19.14;17.8
24/10/1961;.7;30.1;21.14;16.8
25/10/1961;0;33.2;21.94;16.3
26/10/1961;16.6;27.1;20.9;17.2
27/10/1961;0;25.4;19.56;16.2
28/10/1961;0;24.8;19.88;15.6
29/10/1961;0;24.1;19.96;18.1
30/10/1961;8.1;25;19.74;17.5
31/10/1961;62.8;25.8;20.66;17.5
01/11/1961;3.2;27.7;21.64;17.3
02/11/1961;3;29.3;22.36;18.8
03/11/1961;3.3;28.8;21.66;18.1
04/11/1961;26;26.9;21.74;17.9
05/11/1961;0;28.5;21.62;18.2
06/11/1961;.1;29.5;21.28;16.7
07/11/1961;9.2;21.3;17.54;16.1
08/11/1961;0;26;18.18;15
09/11/1961;0;26.1;17.42;10.6
10/11/1961;0;31;22.52;14
11/11/1961;12.7;23.8;19.1;17.4
12/11/1961;5.2;22.9;17.7;16.1
13/11/1961;1.3;26.2;19.08;14.4
14/11/1961;0;27.5;20.9;17.2
15/11/1961;19.7;25.4;17.52;15
16/11/1961;0;24.4;16.26;10
17/11/1961;0;24.8;17.3;11.1
18/11/1961;0;27.6;18.3;11.8
19/11/1961;0;30.5;20.84;13.6
20/11/1961;5.2;29.8;23.92;17.8
21/11/1961;.1;29.3;23.96;20.1
22/11/1961;3;32;23.64;18.8
23/11/1961;6.7;31.4;23.54;17.8
24/11/1961;1.3;28.6;22.46;19.7
25/11/1961;2.3;29.3;22.56;19.5
26/11/1961;0;32.4;25.3;20.2
27/11/1961;20.4;31.7;23.66;19
28/11/1961;2;28.1;23.5;19.7
29/11/1961;0;31.1;24.32;20.4
30/11/1961;0;34;25.58;18.1
01/12/1961;0;33.5;24.68;20.1
02/12/1961;2.7;30.3;23.28;19.3
03/12/1961;13.5;23.9;19.28;16.9
04/12/1961;.8;23.1;18.4;15.8
05/12/1961;0;22.8;17.48;14.9
06/12/1961;0;23.5;17.42;14.3
07/12/1961;0;23.1;17.6;14.6
08/12/1961;2.4;24.6;19.02;15.5
09/12/1961;3.6;26.9;19.68;14.7
10/12/1961;6.1;29.6;20.92;14.7
11/12/1961;50.4;30.8;22.12;15.8
12/12/1961;0;30.1;22.2;17.5
13/12/1961;0;27;21.3;17
14/12/1961;0;26.2;20.66;18.1
15/12/1961;3.4;27.7;20.28;16.9
16/12/1961;.4;26.5;21.18;17.9
17/12/1961;4.5;27.2;21.32;18.8
18/12/1961;14.6;26.3;20.98;17.6
19/12/1961;0;29;21.28;16.5
20/12/1961;2.4;31.6;22.66;18.2
21/12/1961;1.4;30.6;22.6;17.8
22/12/1961;29.5;30.9;23.42;18.3
23/12/1961;0;29.8;23.18;19.7
24/12/1961;9.2;27.6;22.3;20.2
25/12/1961;.9;23.5;19.16;17.6
26/12/1961;9.6;25.5;19.4;16.8
27/12/1961;10.9;25;20.32;17.2
28/12/1961;.1;28.3;21.22;18.1
29/12/1961;10.7;26.8;22.02;18.1
30/12/1961;9.3;24.4;19;16.9
31/12/1961;.2;26.4;18;13.8
01/01/1962;0;27.6;18.34;11.9
02/01/1962;0;31.2;22.22;16.3
03/01/1962;20.8;25.5;20.1;17.9
04/01/1962;8.9;27.2;20.06;15.7
05/01/1962;0;30.4;22.68;17.1
06/01/1962;0;30.7;23.3;18
07/01/1962;0;32.1;24.5;18.1
08/01/1962;18;25;21.38;19.1
09/01/1962;.7;28.8;22.2;19.2
10/01/1962;0;27.6;21.26;18.5
11/01/1962;0;27.3;20.56;16.5
12/01/1962;0;30.1;20.98;14.2
13/01/1962;0;30.8;22.12;15.2
14/01/1962;0;33;26.02;18.1
15/01/1962;2.5;27.9;20.92;17.5
16/01/1962;1.1;20.7;16.88;15.5
17/01/1962;10.2;20;17.06;15.3
18/01/1962;22.1;23.2;19.4;16.3
19/01/1962;7.9;21.9;18.94;17.8
20/01/1962;3.3;23.4;18.24;16.4
21/01/1962;0;22.3;18.38;15.8
22/01/1962;7.5;26.8;20.74;17.9
23/01/1962;2.7;29.9;23.06;16.8
24/01/1962;0;31.1;25.1;21
25/01/1962;0;28;22.4;20.4
26/01/1962;.3;22.4;18.32;16.6
27/01/1962;1.3;22.2;18.26;16.7
28/01/1962;.1;24.8;18.96;15.8
29/01/1962;0;26.8;20.62;17.7
30/01/1962;1.9;24;19.28;17.3
31/01/1962;.5;23.7;18.72;15.7
01/02/1962;0;29.5;19.14;12.4
02/02/1962;0;29.3;21.36;15.3
03/02/1962;0;30.4;21.7;17.1
04/02/1962;71.4;24.2;20.9;18.7
05/02/1962;11.1;25.4;20.22;18
06/02/1962;2.4;29.5;19.84;15.7
07/02/1962;0;25.4;19.62;15.4
08/02/1962;0;29.7;22.74;16.9
09/02/1962;14.9;26.2;20.92;18.3
10/02/1962;9.6;24.4;19.8;18.4
11/02/1962;0;27.4;21.18;17.9
12/02/1962;0;26.7;21.74;19.2
13/02/1962;0;29.6;22.22;18.3
14/02/1962;0;31.9;23.54;17.6
15/02/1962;0;32;25.64;19
16/02/1962;25.3;28.6;22.08;17.4
17/02/1962;0;30.7;24.72;18.3
18/02/1962;0;30.9;24.2;21.5
19/02/1962;4.7;24.5;18.82;17
20/02/1962;0;27.2;20.94;17
21/02/1962;0;31.6;22.76;19.1
22/02/1962;21.8;25.8;21.74;18.1
23/02/1962;10.6;28.1;21.8;19.3
24/02/1962;21.4;24.4;18.88;16.6
25/02/1962;12.1;24.8;18.24;13.8
26/02/1962;0;27.5;19.56;15.1
27/02/1962;0;27.9;20.56;16
28/02/1962;0;27.8;20.2;17.1
01/03/1962;0;24.4;19.88;16.6
02/03/1962;0;26.9;20.8;18.1
03/03/1962;22.6;27.6;20.68;17.8
04/03/1962;0;26.5;20.64;17.6
05/03/1962;0;29.7;21.4;17.5
06/03/1962;7.2;28.4;21.52;17.4
07/03/1962;0;28.5;21.22;17.2
08/03/1962;0;28.6;19.86;15.5
09/03/1962;0;31.4;23.46;16.1
10/03/1962;0;29.3;22.84;19.4
11/03/1962;2;26.8;21.1;19
12/03/1962;70.9;27;19.62;17.3
13/03/1962;53.8;22.8;19;17.1
14/03/1962;18.8;26.6;20.72;18.5
15/03/1962;23.8;26.2;20.66;18.3
16/03/1962;4.5;27.5;21.34;18.4
17/03/1962;1.6;28.6;22.4;19.4
18/03/1962;23.7;27.7;22.1;18.5
19/03/1962;0;27.5;21.54;19.3
20/03/1962;6.8;28.2;21.96;18.5
21/03/1962;0;28.6;22.3;16.7
22/03/1962;0;29.4;22.06;16.7
23/03/1962;0;30;22.04;16.2
24/03/1962;0;27.6;21.46;18.9
25/03/1962;9.5;28.3;20.38;15.8
26/03/1962;0;29.1;21.96;17.7
27/03/1962;0;30.1;22.06;17.4
28/03/1962;0;29.7;21.38;15.3
29/03/1962;0;30.7;23.54;16.2
30/03/1962;0;29.3;22.54;17.1
31/03/1962;0;28.2;20.94;16.6
01/04/1962;0;30.5;21.66;14.9
02/04/1962;0;30;22.84;16.7
03/04/1962;0;28.4;21.82;19.3
04/04/1962;1;22.9;18.28;16.6
05/04/1962;0;25.6;18.26;13.3
06/04/1962;0;27.5;19.66;16.1
07/04/1962;0;29.6;21.4;15.6
08/04/1962;0;29.4;23.3;16.9
09/04/1962;0;28.2;19.92;16.2
10/04/1962;31.1;24.3;16.52;13.4
11/04/1962;0;27.4;18.34;13.1
12/04/1962;0;27.4;19.7;16
13/04/1962;0;27;19;15.9
14/04/1962;0;26.6;18.34;12.4
15/04/1962;0;28.6;20.98;17.3
16/04/1962;0;28.2;19.96;16.2
17/04/1962;3.4;24.6;19.5;17.6
18/04/1962;0;22.9;19.22;17.7
19/04/1962;1.7;24.8;18.88;16.8
20/04/1962;0;22.5;16.56;14.3
21/04/1962;0;21.6;15.8;12.7
22/04/1962;0;25;16.44;12.2
23/04/1962;0;24.3;16.44;10.6
24/04/1962;0;24.2;17.88;13.8
25/04/1962;0;27.5;19.76;15.5
26/04/1962;.2;24.6;18.94;15.7
27/04/1962;0;24.7;17.56;14.5
28/04/1962;.1;24.4;16.72;12.1
29/04/1962;3.6;17.9;15.34;13
30/04/1962;20.4;22.6;17.82;15.1
01/05/1962;0;21.9;18.4;16.4
02/05/1962;1.5;26.3;21.22;17.2
03/05/1962;1.2;22.5;17.96;15.6
04/05/1962;8.9;20.5;13.74;11.2
05/05/1962;2.1;21.5;14.26;10.5
06/05/1962;0;23.2;13.9;7.8
07/05/1962;0;21.1;13.28;7.7
08/05/1962;.1;18;12.92;9.8
09/05/1962;0;20.6;13.82;9.9
10/05/1962;0;22.1;14.1;9.5
11/05/1962;0;23.2;14.78;9.8
12/05/1962;0;23.4;15;9.1
13/05/1962;0;21.3;14.6;11.1
14/05/1962;0;22.6;15.94;12.2
15/05/1962;0;23;16.04;12
16/05/1962;0;25.4;18.64;11.7
17/05/1962;0;27.4;20.92;16.5
18/05/1962;0;25.1;19.26;17
19/05/1962;.7;24.8;19.48;17
20/05/1962;0;26.1;19.86;16.4
21/05/1962;0;28.4;20.06;15.9
22/05/1962;0;28.2;21.08;14.9
23/05/1962;0;26.4;20.38;15.5
24/05/1962;0;24;17.3;14.8
25/05/1962;0;21.3;14.18;11.2
26/05/1962;0;23.6;13.7;9.2
27/05/1962;.1;24.7;15.84;7.2
28/05/1962;0;20.3;16.52;14.4
29/05/1962;1.9;17.4;11.96;9.8
30/05/1962;0;15.1;9.86;8.1
31/05/1962;.8;17.5;10.54;7.5
01/06/1962;0;19.6;12.3;6.9
02/06/1962;0;26.1;16.66;8.2
03/06/1962;5;20.1;15.08;12.8
04/06/1962;.5;18.7;12.82;10.8
05/06/1962;0;17.8;13.38;10.9
06/06/1962;0;18.5;14.42;12
07/06/1962;1.3;22.1;16.12;12.4
08/06/1962;1.6;18.3;14.82;13.5
09/06/1962;3;19.1;14.16;12.1
10/06/1962;0;19.9;13.86;11.3
11/06/1962;0;17.2;11.44;8.5
12/06/1962;0;15.2;10.88;5.9
13/06/1962;.1;17.4;12.42;10.5
14/06/1962;.4;18.6;11.66;9.7
15/06/1962;0;17.3;11.38;7.7
16/06/1962;0;17.7;11.68;7
17/06/1962;0;18.2;12.42;9.7
18/06/1962;0;20.4;12.3;7.9
19/06/1962;0;24.2;13.98;7
20/06/1962;0;25.1;15.8;8.1
21/06/1962;0;24.8;16.8;11.4
22/06/1962;0;24.2;16.86;12.3
23/06/1962;0;20.5;13.74;11.6
24/06/1962;0;21.4;13.4;10.8
25/06/1962;0;22.1;14.24;10
26/06/1962;0;24.8;16.04;11.4
27/06/1962;0;25.2;16.2;9.5
28/06/1962;0;27.5;16.94;10.1
29/06/1962;0;24.8;16.42;9.3
30/06/1962;0;25.4;16.34;9.9
01/07/1962;0;24.7;15.8;9
02/07/1962;0;24.1;14.72;8
03/07/1962;0;22.6;13.9;9.6
04/07/1962;0;23.1;14.64;8
05/07/1962;0;24.4;17.18;10.6
06/07/1962;0;16.9;11.32;9.5
07/07/1962;0;15.2;9.7;4.8
08/07/1962;0;17.3;12.1;9.3
09/07/1962;0;25.9;16.92;9.8
10/07/1962;11.7;19.1;13.92;11.7
11/07/1962;10.6;18.9;12.84;8.3
12/07/1962;0;22.7;13.52;7.1
13/07/1962;0;21.1;12.12;6.2
14/07/1962;0;21.8;14.64;8.6
15/07/1962;0;26.7;16.72;10.4
16/07/1962;0;26.2;18.32;11.1
17/07/1962;0;24.2;16.54;12.6
18/07/1962;0;21.4;15.12;12.1
19/07/1962;1.2;18.8;13.52;11.4
20/07/1962;.1;14.6;10.68;8.8
21/07/1962;0;19.1;12.06;8.1
22/07/1962;0;19.8;12.34;7.3
23/07/1962;0;16.9;11.18;6.1
24/07/1962;7.5;13.8;12;10.6
25/07/1962;3.7;21.6;14.72;11.4
26/07/1962;0;17.1;11.4;9.4
27/07/1962;0;16.2;11.16;5.5
28/07/1962;0;18.4;13.14;10
29/07/1962;0;19.9;13.32;10.9
30/07/1962;0;21.4;14.7;9
31/07/1962;0;24;15.2;10.6
01/08/1962;0;25.1;14.98;11.2
02/08/1962;0;22.2;14.28;11
03/08/1962;0;24.9;15.7;11.7
04/08/1962;0;26.3;17;10.3
05/08/1962;0;26.4;17.58;11.7
06/08/1962;0;27.4;17.84;10.5
07/08/1962;0;25;16.58;10.8
08/08/1962;0;26.6;16.92;9.6
09/08/1962;0;27.8;18.28;10.3
10/08/1962;0;27.2;19.06;11.9
11/08/1962;0;25.8;18.16;14.1
12/08/1962;.1;22.6;15.2;12
13/08/1962;0;21.2;12.94;8.2
14/08/1962;0;20.2;13.24;10.3
15/08/1962;0;24.6;15.46;10
16/08/1962;0;21.1;16.96;12.9
17/08/1962;13.6;19.3;15.46;13.3
18/08/1962;0;25.5;16.8;10.1
19/08/1962;0;23.3;16.02;12
20/08/1962;0;18.9;14.38;12
21/08/1962;0;21.9;15.78;12.1
22/08/1962;0;23.3;16.72;12.3
23/08/1962;33.4;17.1;12;10.2
24/08/1962;3.2;17.8;11.04;7.9
25/08/1962;0;18.8;10.24;3.6
26/08/1962;0;27.2;15.38;4.2
27/08/1962;0;29.1;18.32;9.7
28/08/1962;0;27.4;15.26;9.2
29/08/1962;0;30.4;19.46;11.1
30/08/1962;0;24.4;18.14;12.5
31/08/1962;0;17.9;15.24;13.7
01/09/1962;0;23.2;16.56;13.1
02/09/1962;0;26.7;18.34;14.5
03/09/1962;0;28.4;20.54;14.4
04/09/1962;0;30.3;21.58;14.6
05/09/1962;.3;28.4;22.5;17.4
06/09/1962;0;29.3;22.02;17
07/09/1962;0;29.7;22.6;16.2
08/09/1962;0;30.1;20.42;15.6
09/09/1962;32.7;16.7;15.14;13.7
10/09/1962;0;19.4;16.84;14.1
11/09/1962;0;29.6;20.04;16.5
12/09/1962;0;16.9;13.9;12.6
13/09/1962;0;15.3;13.56;12.1
14/09/1962;.1;17.2;14.4;12.5
15/09/1962;0;22.5;15.86;12.6
16/09/1962;0;26.2;18.04;12.3
17/09/1962;0;28.1;19.96;12.2
18/09/1962;0;28.6;19.48;15.1
19/09/1962;0;26.9;18.8;15.7
20/09/1962;0;21.5;17.9;15.5
21/09/1962;2.3;18.7;16.64;15.3
22/09/1962;4.3;16.5;14.22;13.2
23/09/1962;1.1;15.4;12.58;11.3
24/09/1962;.2;18.8;13.52;9.4
25/09/1962;0;20.1;14.18;11.4
26/09/1962;0;24.6;16.3;11
27/09/1962;0;28.9;19.74;13.9
28/09/1962;0;26;18.24;13.4
29/09/1962;1.2;25.7;18.06;15.5
30/09/1962;4.7;27.6;18.9;15
01/10/1962;.6;29.4;22;16.2
02/10/1962;2;22.4;19.22;17.3
03/10/1962;13.9;23.2;20.12;17.8
04/10/1962;13.7;22.8;19.02;16.8
05/10/1962;3.8;24;17.82;15.1
06/10/1962;.3;22.8;16.54;12.9
07/10/1962;0;29.7;20.8;13.3
08/10/1962;0;21.5;17.68;15.6
09/10/1962;21.8;15.8;14.62;13.9
10/10/1962;2;18.7;15.92;14.2
11/10/1962;8.8;16.6;14.94;14
12/10/1962;6.5;17.2;14.44;13
13/10/1962;.1;19.2;15.1;12.7
14/10/1962;0;19.6;15.78;13.1
15/10/1962;0;22.6;17.22;13.5
16/10/1962;0;24.1;19.12;15.9
17/10/1962;3.9;28.3;20.12;16.7
18/10/1962;14.8;27.9;20.94;17.5
19/10/1962;29.6;18.6;16.1;15.1
